,,,,,,
Выручка,Девочка,Мальчик,Месяц,Температура,Дождь,День недели
5390,,1,5,8,0,сб
3190,,1,5,8.3,0,вс
2215,1,,5,7.6,0,пн
1810,1,,5,2.7,1,вт
2800,,1,5,5.8,0,ср
2280,1,,5,6.9,1,чт
3060,1,,5,7.7,1,пт
2184,1,,5,3.2,1,сб
3060,,1,5,8.6,0,вс
2470,,1,5,12,1,пн
2400,1,,5,22.2,0,вт
2820,1,,5,25.5,0,ср
3420,,1,5,24,0,чт
5340,,1,5,18.6,0,пт
4800,1,,5,21.1,0,сб
5640,1,,5,16,0,вс
4680,,1,5,23.7,0,пн
3360,,1,5,18.7,1,вт
4920,1,,5,26.3,0,ср
4020,1,,5,16.5,0,чт
4740,,1,5,11.7,0,пт
6120,,1,5,14.7,0,сб
2400,1,,5,12.2,1,вс
4860,1,,5,11.8,0,пн
5220,,1,5,13.9,0,вт
4020,,1,5,10.5,1,ср
4260,1,,5,17.1,0,чт
5580,1,,5,12.6,0,пт
4260,,1,5,11.5,0,сб
4040,,1,5,12.8,0,вс
5460,1,,5,15.5,0,пн
6240,1,,6,17.6,0,вт
6240,,1,6,19.6,0,ср
6300,,1,6,21.5,0,чт
6240,1,,6,23.7,0,пт
5760,1,,6,23.4,0,сб
5520,,1,6,23.7,0,вс
6360,,1,6,23.2,0,пн
6960,1,,6,21.4,0,вт
4980,,1,6,22.6,0,ср
7080,,1,6,24.7,0,чт
6540,1,,6,25.2,0,пт
6780,1,,6,17.2,1,сб
6480,1,,6,19,1,вс
7320,,1,6,19.3,0,пн
5760,1,,6,17.2,0,вт
6780,1,,6,19.2,0,ср
4920,,1,6,21.5,0,чт
2700,,1,6,26.6,0,пт
5340,,1,6,28.6,0,сб
4440,1,,6,30.6,0,вс
4500,1,,6,31.3,0,пн
3480,,1,6,32.4,0,вт
3960,,1,6,33.6,0,ср
3960,1,,6,24.5,1,чт
4920,1,,6,26.9,0,пт
5040,,1,6,23.2,1,сб
4260,,1,6,25.7,0,вс
4860,1,,6,23,0,пн
4440,1,,6,23.6,0,вт
4560,,1,6,26.6,0,ср
4260,,1,7,25,0,чт
4800,,1,7,23.5,0,пт
4600,1,,7,25.2,0,сб
3480,,1,7,27.7,0,вс
3300,,1,7,28,0,пн
3840,,1,7,27.7,0,вт
4200,,,7,29.2,0,ср
4020,,1,7,31.2,0,чт
3880,,1,7,26.7,0,пт
4800,,1,7,31.1,0,сб
4200,1,,7,32.3,0,вс
4480,,1,7,26.8,0,пн
3720,,1,7,29.6,0,вт
3450,1,,7,30.1,0,ср
4080,1,,7,31.1,0,чт
4140,,1,7,29.4,0,пт
4710,,1,7,26,0,сб
4890,1,,7,28.5,0,вс
4620,1,,7,22.1,0,пн
6300,,1,7,19.4,0,вт
4410,,1,7,19.5,0,ср
3870,1,,7,19.1,0,чт
4320,1,,7,20.8,0,пт
4650,,1,7,18.8,0,сб
3810,,1,7,20.7,0,вс
4640,1,,7,26.1,0,пн
3210,1,,7,29,0,вт
4260,,1,7,28,0,ср
5090,,1,7,22.7,0,чт
4500,1,,7,21.8,0,пт
6270,1,,7,17.7,1,сб
3360,,1,8,21.3,1,вс
5190,,1,8,20.2,0,пн
4890,1,,8,19.9,1,вт
4890,1,,8,18.4,0,ср
4980,,1,8,20.5,0,чт
3150,,1,8,20.2,0,пт
4830,1,,8,16.3,1,сб
4560,1,,8,20.9,1,вс
5110,,1,8,20.4,0,пн
5400,,1,8,20.2,0,вт
6150,1,,8,22.8,0,ср
5400,1,,8,20.3,0,чт
4870,,1,8,21.8,0,пт
6750,1,,8,21.8,0,сб
3890,1,,8,19.5,1,вс
6190,1,,8,16.9,1,пн
7620,,1,8,22.7,0,вт
4710,,1,8,20.2,0,ср
5880,1,,8,18.7,0,чт
5610,1,,8,18.9,0,пт
6380,,1,8,17.3,1,сб
7410,,1,8,16.3,0,вс
5520,1,,8,16.2,0,пн
6030,1,,8,13.3,1,вт
7320,,1,8,13.4,0,ср
5330,,1,8,16.8,0,чт
7020,1,,8,14.2,1,пт
6220,1,,8,20,0,сб
8210,1,,8,14.7,1,вс
7020,,1,8,17.4,0,пн
6800,,1,8,15,0,вт
7050,1,,9,16.7,0,ср
7080,1,,9,14,0,чт
5710,1,,9,8.7,1,пт
7650,1,,9,9.7,0,сб
6150,1,,9,11.5,0,вс
6900,1,,9,13.6,0,пн
5980,,1,9,14.8,0,вт
4800,,1,9,15.3,1,ср
5670,1,,9,15.1,0,чт
8250,,1,9,15.1,0,пт
6060,,1,9,16.2,1,сб
7410,1,,9,16.2,0,вс
6210,1,,9,16.6,1,пн
5640,,1,9,9.3,0,вт
6960,,1,9,6.6,1,ср
4380,,1,9,9.5,0,чт
8880,1,,9,10.8,0,пт
7380,1,,9,10.4,0,сб
6030,,1,9,9.2,0,вс
8310,,1,9,7.5,0,пн
7570,1,,9,9.3,0,вт
8880,1,,9,10.4,0,ср
7290,,1,9,8.5,1,чт
7290,,1,9,10.1,0,пт
8430,1,,9,10.1,1,сб
8400,1,,9,10.7,0,вс
6400,,1,9,13.2,0,пн
7300,,1,9,11.2,0,вт
8070,1,,9,10.5,0,ср
7090,1,,9,11.2,0,чт
6900,1,,10,11.2,0,пт
6400,1,,10,14.2,0,сб
5600,1,,10,14.6,0,вс
6840,1,,10,13.2,0,пн
7580,1,,10,13.6,0,вт
6800,1,,10,15.6,0,ср
6630,1,,10,14.6,0,чт
9120,,1,10,14.2,0,пт
6210,,1,10,10.4,1,сб
7740,1,,10,13.9,1,вс
8340,1,,10,12.5,0,пн
6840,,1,10,11.2,0,вт
5070,,1,10,10.5,0,ср
6370,1,,10,7.4,1,чт
7840,1,,10,8.6,1,пт
7720,,1,10,7.2,1,сб
7390,,1,10,7.9,0,вс
8710,1,,10,6,0,пн
8300,1,,10,3.2,1,вт
4880,1,,10,1.8,1,ср
7110,,1,10,12.7,0,чт
7190,1,,10,8.8,1,пт
8470,1,,10,4.3,1,сб
7300,,1,10,3.4,0,вс
6580,,1,10,9.3,1,пн
8000,1,,10,7.5,0,вт
9090,1,,10,8.1,1,ср
8240,,1,10,7.5,0,чт
9870,,1,10,13,0,пт
7750,,1,10,9.2,0,сб
11060,1,,10,8.9,0,вс
4900,0.3,0.5,11,9.7,0,пн
7560,,1,11,6.4,0,вт
9580,1,,11,7.4,0,ср
9860,1,,11,7.9,1,чт
6620,,1,11,10.3,1,пт
7490,,1,11,5.9,1,сб
7970,1,,11,4.9,1,вс
7400,1,,11,1.7,1,пн
8300,1,,11,-1.2,1,вт
6410,,1,11,3.3,1,ср
5880,,1,11,7.1,0,чт
